recipientAddress,pointsAmount
0x0B6e53bB09F18530bF71880BA503f485c46Fa0eb,25
0x07A3F6fF742329c0e8cEa9835e9d0616d1ED2A60,10
0x2a4b6c8d0e1f3a5b7c9d0e1f2a4b6c8d0e1f3a5b,37
0x3f5e7d9c1b2a4f6e8d0c2b4a6f8e0d2c4b6a8f0e,82
0x4d6f8a0c2e4b6d8f0a2c4e6b8d0f2a4c6e8b0d2f,19
0x5b7d9f1e3c5b7d9f1e3c5b7d9f1e3c5b7d9f1e3c,63
0x6f8b0d2f4a6f8b0d2f4a6f8b0d2f4a6f8b0d2f4a,45
0x7d9f1e3c5b7d9f1e3c5b7d9f1e3c5b7d9f1e3c5b,94
0x8b0d2f4a6f8b0d2f4a6f8b0d2f4a6f8b0d2f4a6f,28
0x9f1e3c5b7d9f1e3c5b7d9f1e3c5b7d9f1e3c5b7d,71
0xa2c4e6b8d0f2a4c6e8b0d2f4a6f8b0d2f4a6f8b0,53
0xb4d6f8a0c2e4b6d8f0a2c4e6b8d0f2a4c6e8b0d2,86
0xc6e8b0d2f4a6f8b0d2f4a6f8b0d2f4a6f8b0d2f4,12
0xd8f0a2c4e6b8d0f2a4c6e8b0d2f4a6f8b0d2f4a6,95
0xe0b2d4f6a8c0e2b4d6f8a0c2e4b6d8f0a2c4e6b8,39
0xf2d4b6a8e0c2f4d6b8a0e2c4f6d8b0a2e4c6f8d0,67
0x1a3c5e7b9d1f3a5c7e9b1d3f5a7c9e1b3d5f7b9d,44
0x2c4e6f8a0b2d4f6a8c0e2d4f6a8b0c2e4f6a8d0b,78
0x3e5f7b9d1a3c5e7b9d1a3c5e7b9d1a3c5e7b9d1a,23
0x5a7c9e1b3d5f7a9c1e3b5d7f9a1c3e5b7d9f1a3c,89
0x6b8d0f2a4c6b8d0f2a4c6b8d0f2a4c6b8d0f2a4c,15
0x7d9f1e3c5b7d9f1e3c5b7d9f1e3c5b7d9f1e3c5b,47
0x8e0f2d4a6c8e0f2d4a6c8e0f2d4a6c8e0f2d4a6c,83
0x9f1e3d5b7c9f1e3d5b7c9f1e3d5b7c9f1e3d5b7c,25
0xa0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8,91
0xb1d3f5a7c9b1d3f5a7c9b1d3f5a7c9b1d3f5a7c9,14
0xc2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0,68
0xd3f5a7c9b1d3f5a7c9b1d3f5a7c9b1d3f5a7c9b1,33
0xe4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2,79
0xf5a7c9b1d3f5a7c9b1d3f5a7c9b1d3f5a7c9b1d3,52
0x1b3d5f7a9c1b3d5f7a9c1b3d5f7a9c1b3d5f7a9c,96
0x2c4e6f8b0d2c4e6f8b0d2c4e6f8b0d2c4e6f8b0d,17
0x3d5f7a9c1e3d5f7a9c1e3d5f7a9c1e3d5f7a9c1e,64
0x4e6f8b0d2c4e6f8b0d2c4e6f8b0d2c4e6f8b0d2c,38
0x5f7a9c1e3d5f7a9c1e3d5f7a9c1e3d5f7a9c1e3d,85
0x6f8b0d2c4e6f8b0d2c4e6f8b0d2c4e6f8b0d2c4e,23
0x7a9c1e3d5f7a9c1e3d5f7a9c1e3d5f7a9c1e3d5f,71
0x8b0d2c4e6f8b0d2c4e6f8b0d2c4e6f8b0d2c4e6f,49
0x9c1e3d5f7a9c1e3d5f7a9c1e3d5f7a9c1e3d5f7a,92
0xa0d2c4e6f8a0d2c4e6f8a0d2c4e6f8a0d2c4e6f8,16
0xb1e3d5f7a9b1e3d5f7a9b1e3d5f7a9b1e3d5f7a9,67
0xc2f4e6f8a0c2f4e6f8a0c2f4e6f8a0c2f4e6f8a0,34
